onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_noTriggerAdjust
0.0314201989999674	0.966219115000058	0.966219115000058	1	BALOON	5	ACCEPT	1	5	5	5	0.0314201989999674
2.29835087699985	0.683193099000164	0.683193099000164	1	BALOON	5	ACCEPT	1	5	10	5	2.29835087699985
4.69765468800006	0.313871015999894	0.313871015999894	1	BALOON	5	ACCEPT	1	5	15	5	4.69765468800006
7.99055013599991	0	0	1	BALOON	n/a	EXPLODE	1	0	15	5	7.99055013599991
13.1531115329999	0.485433159999957	0.485433159999957	2	BALOON	5	ACCEPT	0	5	5	5	13.1531115329999
16.462481514	0.501078249999864	0.501078249999864	2	BALOON	5	ACCEPT	0	5	10	5	16.462481514
18.94455763	0.430002562000027	0.430002562000027	2	BALOON	28	CASHOUT	0	0	10	5	18.94455763
22.915767536	0.515796578999925	0.515796578999925	3	BALOON	5	ACCEPT	0	5	5	5	22.915767536
25.497079209	0.262477996999905	0.262477996999905	3	BALOON	5	ACCEPT	0	5	10	5	25.497079209
28.3100512169999	0.520491594000077	0.520491594000077	3	BALOON	5	ACCEPT	0	5	15	5	28.3100512169999
31.70216063	0.492384860999891	0.492384860999891	3	BALOON	28	CASHOUT	0	0	15	5	31.70216063
41.315902566	0.389663065999912	0.389663065999912	4	BALOON	5	ACCEPT	0	5	5	5	41.315902566
43.615919497	0.445632879999948	0.445632879999948	4	BALOON	5	ACCEPT	0	5	10	5	43.615919497
46.4619855369999	0.371562924000045	0.371562924000045	4	BALOON	5	ACCEPT	0	5	15	5	46.4619855369999
48.3648851119999	0.711668685999939	0.711668685999939	4	BALOON	5	ACCEPT	0	5	20	5	48.3648851119999
50.532494904	0.562061761999985	0.562061761999985	4	BALOON	28	CASHOUT	0	0	20	5	50.532494904
56.6548782919999	0.365671163000115	0.365671163000115	5	BALOON	5	ACCEPT	1	5	5	5	56.6548782919999
59.633295334	0.3262576300001	0.3262576300001	5	BALOON	5	ACCEPT	1	5	10	5	59.633295334
62.164968239	0.27656342399996	0.27656342399996	5	BALOON	5	ACCEPT	1	5	15	5	62.164968239
64.150657875	0	0	5	BALOON	n/a	EXPLODE	1	0	15	5	64.150657875
68.717547489	0.688013648999913	0.688013648999913	6	CONTROL	5	ACCEPT	1	0	0	0	68.717547489
70.785910653	0.253645860999995	0.253645860999995	6	CONTROL	5	ACCEPT	1	0	0	0	70.785910653
73.8140083619999	0.417552419000003	0.417552419000003	6	CONTROL	5	ACCEPT	1	0	0	0	73.8140083619999
76.0478145239999	0.402741602000106	0.402741602000106	6	CONTROL	5	ACCEPT	1	0	0	0	76.0478145239999
77.7852669809999	0.375285149000092	0.375285149000092	6	CONTROL	5	ACCEPT	1	0	0	0	77.7852669809999
79.704790926	0.36276790199986	0.36276790199986	6	CONTROL	5	ACCEPT	1	0	0	0	79.704790926
82.4349715859998	0.422586181000042	0.422586181000042	6	CONTROL	5	ACCEPT	1	0	0	0	82.4349715859998
84.8508184049999	0.292737259999967	0.292737259999967	6	CONTROL	5	ACCEPT	1	0	0	0	84.8508184049999
94.481052142	0.441501066000001	0.441501066000001	7	CONTROL	5	ACCEPT	1	0	0	0	94.481052142
97.67462535	0.334946383999977	0.334946383999977	7	CONTROL	5	ACCEPT	1	0	0	0	97.67462535
100.437923015	0.247634728999856	0.247634728999856	7	CONTROL	5	ACCEPT	1	0	0	0	100.437923015
103.26746013	0.252105382999844	0.252105382999844	7	CONTROL	5	ACCEPT	1	0	0	0	103.26746013
104.822891507	0.404672560000108	0.404672560000108	7	CONTROL	5	ACCEPT	1	0	0	0	104.822891507
106.924335875	0.41123476100006	0.41123476100006	7	CONTROL	5	ACCEPT	1	0	0	0	106.924335875
108.72800593	0.281549547000168	0.281549547000168	7	CONTROL	5	ACCEPT	1	0	0	0	108.72800593
110.680487874	0.259071754999923	0.259071754999923	7	CONTROL	5	ACCEPT	1	0	0	0	110.680487874
124.215783739	0.343778580999924	0.343778580999924	8	BALOON	5	ACCEPT	0	5	5	5	124.215783739
127.161122282	0.3324345609999	0.3324345609999	8	BALOON	5	ACCEPT	0	5	10	5	127.161122282
130.255390309	0.3681676409999	0.3681676409999	8	BALOON	5	ACCEPT	0	5	15	5	130.255390309
132.108653635	0.718914075000157	0.718914075000157	8	BALOON	5	ACCEPT	0	5	20	5	132.108653635
134.011569234	1.7159973329999	1.7159973329999	8	BALOON	28	CASHOUT	0	0	20	5	134.011569234
