onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_noTriggerAdjust
0.0296141758722115	1.14715687112766	1.14715687112766	1	BALOON	5	ACCEPT	1	5	5	5	0.0296141758722115
3.9422478217225	0.304525617277704	0.304525617277704	1	BALOON	5	ACCEPT	1	5	10	5	3.9422478217225
7.22503528763173	0.219812675368303	0.219812675368303	1	BALOON	5	ACCEPT	1	5	15	5	7.22503528763173
8.81652324991774	0.326249090082456	0.326249090082456	1	BALOON	5	ACCEPT	1	5	20	5	8.81652324991774
11.0049352475271	0.273838781472932	0.273838781472932	1	BALOON	5	ACCEPT	1	5	25	5	11.0049352475271
14.2212954259176	0.273476116082293	0.273476116082293	1	BALOON	5	ACCEPT	1	5	30	5	14.2212954259176
16.4429538267223	0.269818093277536	0.269818093277536	1	BALOON	5	ACCEPT	1	5	35	5	16.4429538267223
18.3992897669177	0.273481989082484	0.273481989082484	1	BALOON	5	ACCEPT	1	5	40	5	18.3992897669177
21.6322414197225	0.298530481277339	0.298530481277339	1	BALOON	5	ACCEPT	1	5	45	5	21.6322414197225
24.7657207899179	0	0	1	BALOON	n/a	EXPLODE	1	0	45	5	24.7657207899179
28.5789297999177	0.481843646082325	0.481843646082325	2	BALOON	5	ACCEPT	1	5	5	5	28.5789297999177
30.8834157719175	0.347459895082466	0.347459895082466	2	BALOON	5	ACCEPT	1	5	10	5	30.8834157719175
33.3206539634361	0.244117141563947	0.244117141563947	2	BALOON	5	ACCEPT	1	5	15	5	33.3206539634361
36.6033757294363	0.317397663563497	0.317397663563497	2	BALOON	5	ACCEPT	1	5	20	5	36.6033757294363
38.7254270089174	0.259347326082661	0.259347326082661	2	BALOON	5	ACCEPT	1	5	25	5	38.7254270089174
40.1346276679178	0.372145093082054	0.372145093082054	2	BALOON	5	ACCEPT	1	5	30	5	40.1346276679178
41.6930521429176	0.244719803082262	0.244719803082262	2	BALOON	5	ACCEPT	1	5	35	5	41.6930521429176
44.1468287809175	0.928944405082348	0.928944405082348	2	BALOON	5	ACCEPT	1	5	40	5	44.1468287809175
47.7610668419175	0.457707232082612	0.457707232082612	2	BALOON	5	ACCEPT	1	5	45	5	47.7610668419175
50.0656010201133	0.465172586886638	0.465172586886638	2	BALOON	5	ACCEPT	1	5	50	5	50.0656010201133
52.2540300577225	0.588741549277529	0.588741549277529	2	BALOON	5	ACCEPT	1	5	55	5	52.2540300577225
55.0062038169181	0.428567175082208	0.428567175082208	2	BALOON	5	ACCEPT	1	5	60	5	55.0062038169181
58.2224944977224	0	0	2	BALOON	n/a	EXPLODE	1	0	60	5	58.2224944977224
61.8533873559181	0.475397421081652	0.475397421081652	3	BALOON	5	ACCEPT	0	5	5	5	61.8533873559181
64.9205364229183	0.627236585081846	0.627236585081846	3	BALOON	5	ACCEPT	0	5	10	5	64.9205364229183
67.208417513918	0.489353659081644	0.489353659081644	3	BALOON	5	ACCEPT	0	5	15	5	67.208417513918
70.408171401722	0.793602984277641	0.793602984277641	3	BALOON	5	ACCEPT	0	5	20	5	70.408171401722
73.4588424575268	0.636932100473132	0.636932100473132	3	BALOON	5	ACCEPT	0	5	25	5	73.4588424575268
