onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_noTriggerAdjust
0.0320666010002242	1.22172436399978	1.22172436399978	1	CONTROL	5	ACCEPT	1	0	0	0	0.0320666010002242
12.1940199709998	0.771782550999887	0.771782550999887	2	BALOON	5	ACCEPT	0	5	5	5	12.1940199709998
15.0235258659995	0.454268184000284	0.454268184000284	2	BALOON	5	ACCEPT	0	5	10	5	15.0235258659995
18.3660027629994	0.505795097000373	0.505795097000373	2	BALOON	5	ACCEPT	0	5	15	5	18.3660027629994
20.5171040289997	0.715694417000122	0.715694417000122	2	BALOON	5	ACCEPT	0	5	20	5	20.5171040289997
22.9825881429997	1.14620663500045	1.14620663500045	2	BALOON	28	CASHOUT	0	0	20	5	22.9825881429997
29.6013550809994	0.956462705000376	0.956462705000376	3	BALOON	5	ACCEPT	0	5	5	5	29.6013550809994
31.98408681	0.245805579999796	0.245805579999796	3	BALOON	5	ACCEPT	0	5	10	5	31.98408681
33.8538937149997	0.481904285999917	0.481904285999917	3	BALOON	5	ACCEPT	0	5	15	5	33.8538937149997
37.2129219500002	0.590888352999173	0.590888352999173	3	BALOON	28	CASHOUT	0	0	15	5	37.2129219500002
48.9611700579999	1.63462876500034	1.63462876500034	4	BALOON	5	ACCEPT	1	5	5	5	48.9611700579999
53.4784966699999	0	0	4	BALOON	n/a	EXPLODE	1	0	5	5	53.4784966699999
57.1022819640002	0.929523045999304	0.929523045999304	5	BALOON	5	ACCEPT	0	5	5	5	57.1022819640002
60.0641422239996	0.84867504200065	0.84867504200065	5	BALOON	5	ACCEPT	0	5	10	5	60.0641422239996
62.7447683179998	0.670060172000376	0.670060172000376	5	BALOON	28	CASHOUT	0	0	10	5	62.7447683179998
76.8592562129998	1.15655076500025	1.15655076500025	6	CONTROL	28	CASHOUT	1	0	0	0	76.8592562129998
76.8592562129998	1.15655076500025	1.15655076500025	6	CONTROL	28	CASHOUT	1	0	0	0	76.8592562129998
76.8592562129998	1.15655076500025	1.15655076500025	6	CONTROL	28	CASHOUT	1	0	0	0	76.8592562129998
76.8592562129998	1.15655076500025	1.15655076500025	6	CONTROL	28	CASHOUT	1	0	0	0	76.8592562129998
76.8592562129998	1.15655076500025	1.15655076500025	6	CONTROL	28	CASHOUT	1	0	0	0	76.8592562129998
98.2212744399994	0.706527777000701	0.706527777000701	7	CONTROL	28	CASHOUT	1	0	0	0	98.2212744399994
98.2212744399994	0.706527777000701	0.706527777000701	7	CONTROL	28	CASHOUT	1	0	0	0	98.2212744399994
98.2212744399994	0.706527777000701	0.706527777000701	7	CONTROL	28	CASHOUT	1	0	0	0	98.2212744399994
98.2212744399994	0.706527777000701	0.706527777000701	7	CONTROL	28	CASHOUT	1	0	0	0	98.2212744399994
98.2212744399994	0.706527777000701	0.706527777000701	7	CONTROL	28	CASHOUT	1	0	0	0	98.2212744399994
98.2212744399994	0.706527777000701	0.706527777000701	7	CONTROL	28	CASHOUT	1	0	0	0	98.2212744399994
98.2212744399994	0.706527777000701	0.706527777000701	7	CONTROL	28	CASHOUT	1	0	0	0	98.2212744399994
122.081873341	0.655935699000111	0.655935699000111	8	CONTROL	28	CASHOUT	1	0	0	0	122.081873341
122.081873341	0.655935699000111	0.655935699000111	8	CONTROL	28	CASHOUT	1	0	0	0	122.081873341
122.081873341	0.655935699000111	0.655935699000111	8	CONTROL	28	CASHOUT	1	0	0	0	122.081873341
122.081873341	0.655935699000111	0.655935699000111	8	CONTROL	28	CASHOUT	1	0	0	0	122.081873341
122.081873341	0.655935699000111	0.655935699000111	8	CONTROL	28	CASHOUT	1	0	0	0	122.081873341
122.081873341	0.655935699000111	0.655935699000111	8	CONTROL	28	CASHOUT	1	0	0	0	122.081873341
122.081873341	0.655935699000111	0.655935699000111	8	CONTROL	28	CASHOUT	1	0	0	0	122.081873341
122.081873341	0.655935699000111	0.655935699000111	8	CONTROL	28	CASHOUT	1	0	0	0	122.081873341
151.982112614	0.723704858000019	0.723704858000019	9	BALOON	5	ACCEPT	0	5	5	5	151.982112614
154.943992369	0.471834097000283	0.471834097000283	9	BALOON	5	ACCEPT	0	5	10	5	154.943992369
157.359798646999	0.942001276000155	0.942001276000155	9	BALOON	5	ACCEPT	0	5	15	5	157.359798646999
160.950515275	0.529301816999578	0.529301816999578	9	BALOON	28	CASHOUT	0	0	15	5	160.950515275
166.460619037	0.967173673000616	0.967173673000616	10	CONTROL	28	CASHOUT	1	0	0	0	166.460619037
166.460619037	0.967173673000616	0.967173673000616	10	CONTROL	28	CASHOUT	1	0	0	0	166.460619037
166.460619037	0.967173673000616	0.967173673000616	10	CONTROL	28	CASHOUT	1	0	0	0	166.460619037
166.460619037	0.967173673000616	0.967173673000616	10	CONTROL	28	CASHOUT	1	0	0	0	166.460619037
