onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_noTriggerAdjust
0.0318112079999082	0.810658633999992	0.810658633999992	1	CONTROL	5	ACCEPT	1	0	0	0	0.0318112079999082
2.92752574299993	0.274939395000047	0.274939395000047	1	CONTROL	5	ACCEPT	1	0	0	0	2.92752574299993
11.6642892980001	0.530183147999878	0.530183147999878	2	BALOON	5	ACCEPT	0	5	5	5	11.6642892980001
13.749197436	0.445268237999926	0.445268237999926	2	BALOON	5	ACCEPT	0	5	10	5	13.749197436
16.5787107030001	1.22372961399992	1.22372961399992	2	BALOON	5	ACCEPT	0	5	15	5	16.5787107030001
20.6492292160001	0.409242628999891	0.409242628999891	2	BALOON	28	CASHOUT	0	0	15	5	20.6492292160001
27.6485946299999	0.393857430000025	0.393857430000025	3	BALOON	5	ACCEPT	0	5	5	5	27.6485946299999
30.7263037130001	0.428178995999815	0.428178995999815	3	BALOON	5	ACCEPT	0	5	10	5	30.7263037130001
33.291074152	0.471385393999981	0.471385393999981	3	BALOON	5	ACCEPT	0	5	15	5	33.291074152
35.442161963	0.456311112000094	0.456311112000094	3	BALOON	5	ACCEPT	0	5	20	5	35.442161963
38.4371093469999	0.469362538000041	0.469362538000041	3	BALOON	5	ACCEPT	0	5	25	5	38.4371093469999
41.3493625149999	0.693129753999983	0.693129753999983	3	BALOON	28	CASHOUT	0	0	25	5	41.3493625149999
46.5451018379999	1.52938426000014	1.52938426000014	4	BALOON	5	ACCEPT	0	5	5	5	46.5451018379999
49.73863646	0.743824998000036	0.743824998000036	4	BALOON	5	ACCEPT	0	5	10	5	49.73863646
52.386174367	0.448311863000072	0.448311863000072	4	BALOON	28	CASHOUT	0	0	10	5	52.386174367
58.4588772330001	0.311576464999916	0.311576464999916	5	BALOON	5	ACCEPT	0	5	5	5	58.4588772330001
61.2056369540001	0.428855049000049	0.428855049000049	5	BALOON	5	ACCEPT	0	5	10	5	61.2056369540001
64.333009873	0.309471478999967	0.309471478999967	5	BALOON	5	ACCEPT	0	5	15	5	64.333009873
67.0963816379999	1.6341035490002	1.6341035490002	5	BALOON	5	ACCEPT	0	5	20	5	67.0963816379999
70.0582085829999	1.95225066500007	1.95225066500007	5	BALOON	5	ACCEPT	0	5	25	5	70.0582085829999
74.509364626	0.501100241000131	0.501100241000131	5	BALOON	28	CASHOUT	0	0	25	5	74.509364626
78.745344742	0.377180045999921	0.377180045999921	6	BALOON	5	ACCEPT	0	5	5	5	78.745344742
80.54895304	0.421537483000066	0.421537483000066	6	BALOON	28	CASHOUT	0	0	5	5	80.54895304
87.1842363109999	0.402226373000076	0.402226373000076	7	BALOON	5	ACCEPT	0	5	5	5	87.1842363109999
89.1698718709999	0.752610286000163	0.752610286000163	7	BALOON	5	ACCEPT	0	5	10	5	89.1698718709999
91.5691836420001	1.47331976099986	1.47331976099986	7	BALOON	5	ACCEPT	0	5	15	5	91.5691836420001
94.3159401160001	1.08652907800001	1.08652907800001	7	BALOON	5	ACCEPT	0	5	20	5	94.3159401160001
98.0886542170001	0.529842461999806	0.529842461999806	7	BALOON	28	CASHOUT	0	0	20	5	98.0886542170001
103.863529569	0.418932787999893	0.418932787999893	8	BALOON	5	ACCEPT	0	5	5	5	103.863529569
106.726122928	0.388338129999966	0.388338129999966	8	BALOON	5	ACCEPT	0	5	10	5	106.726122928
108.678700814	0.347762697000007	0.347762697000007	8	BALOON	5	ACCEPT	0	5	15	5	108.678700814
110.531897832	0.662580256000183	0.662580256000183	8	BALOON	5	ACCEPT	0	5	20	5	110.531897832
114.05639991	1.01806749299999	1.01806749299999	8	BALOON	5	ACCEPT	0	5	25	5	114.05639991
118.011101584	1.83948583699998	1.83948583699998	8	BALOON	28	CASHOUT	0	0	25	5	118.011101584
124.447862007	0.298619805000044	0.298619805000044	9	BALOON	5	ACCEPT	1	5	5	5	124.447862007
126.069461493	0.357026985999937	0.357026985999937	9	BALOON	5	ACCEPT	1	5	10	5	126.069461493
128.468718826	0.317759027999955	0.317759027999955	9	BALOON	5	ACCEPT	1	5	15	5	128.468718826
