onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
0.01587	1.20801	0.01587	1.22388	3.22603	1.20801	2.01224	COLOR	3	greencircle	green	circle	3	5	1	0.80423	LONG	2	1	CONGRUENT	NOSWITCH	0.01587	3.22603	1.22388
4.20231	1.2079	4.20231	5.41021	7.41241	1.2079	1.59903	SHAPE	4	redcircle	red	circle	4	5	1	0.39113	LONG	2	1	INCONGRUENT	SWITCH	4.20231	7.41241	5.41021
8.42174	1.19135	8.42174	9.61309	11.61527	1.19135	1.98039	S	2	greencircle	green	circle	3	5	1	0.78904	LONG	2	1	CONGRUENT	NOSWITCH	8.42174	11.61527	9.61309
12.60812	1.20789	12.60812	13.81601	15.81816	1.20789	1.62619	SHAPE	4	redcircle	red	circle	4	5	1	0.4183	LONG	2	1	INCONGRUENT	NOSWITCH	12.60812	15.81816	13.81601
17.80381	1.20791	17.80381	19.01172	21.0139	1.20791	1.51595	S	2	greentriangle	green	triangle	1	28	2	0.30804	LONG	2	1	INCONGRUENT	NOSWITCH	17.80381	21.0139	19.01172
22.02331	1.19129	22.02331	23.2146	25.21684	1.19129	1.56247	SHAPE	4	redcircle	red	circle	4	5	1	0.37118	LONG	2	1	INCONGRUENT	NOSWITCH	22.02331	25.21684	23.2146
26.20964	0.21519	26.20964	26.42483	28.41037	0.21519	0.97801	S	2	redtriangle	red	triangle	2	28	2	0.76282	SHORT	1	1	CONGRUENT	NOSWITCH	26.20964	28.41037	26.42483
29.41968	1.19145	29.41968	30.61113	32.61328	1.19145	1.56475	C	1	redcircle	red	circle	4	28	2	0.3733	LONG	2	1	INCONGRUENT	SWITCH	29.41968	32.61328	30.61113
34.61545	0.198560000000001	34.61545	34.81401	36.81617	0.198560000000001	1.3149	COLOR	3	greencircle	green	circle	3	5	1	1.11634	SHORT	1	1	CONGRUENT	NOSWITCH	34.61545	36.81617	34.81401
37.80901	0.21508	37.80901	38.02409	40.00973	0.21508	0.89213	C	1	greentriangle	green	triangle	1	5	1	0.67705	SHORT	1	1	INCONGRUENT	NOSWITCH	37.80901	40.00973	38.02409
