onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
307.81874	0.198540000000037	307.81874	308.01728	310.01943	0.198540000000037	1.04408000000004	COLOR	3	redtriangle	red	triangle	2	5	1	0.84554	SHORT	1	1	INCONGRUENT	NOSWITCH	305.81874	308.01943	306.01728
311.01227	1.19137000000001	311.01227	312.20364	314.22234	1.19137000000001	1.99832000000001	C	1	greencircle	green	circle	3	28	2	0.80695	LONG	2	1	INCONGRUENT	NOSWITCH	309.01227	312.22234	310.20364
315.21519	1.19130999999999	315.21519	316.4065	318.40872	1.19130999999999	1.78918999999999	COLOR	3	redtriangle	red	triangle	2	5	1	0.59788	LONG	2	1	INCONGRUENT	NOSWITCH	313.21519	316.40872	314.4065
319.41805	0.198550000000012	319.41805	319.6166	321.61876	0.198550000000012	1.00539000000001	C	1	redtriangle	red	triangle	2	5	1	0.80684	SHORT	1	1	INCONGRUENT	NOSWITCH	317.41805	319.61876	317.6166
323.62101	1.19135	323.62101	324.81236	326.81447	1.19135	1.70929	COLOR	3	redcircle	red	circle	4	5	1	0.51794	LONG	2	1	CONGRUENT	NOSWITCH	321.62101	324.81447	322.81236
327.80737	1.20791000000003	327.80737	329.01528	331.01743	1.20791000000003	2.58980000000003	S	2	redcircle	red	circle	4	5	1	1.38189	LONG	2	1	CONGRUENT	SWITCH	325.80737	329.01743	327.01528
332.01032	0.215010000000007	332.01032	332.22533	334.21098	0.215010000000007	1.07264000000001	SHAPE	4	greentriangle	green	triangle	1	28	2	0.85763	SHORT	1	1	CONGRUENT	NOSWITCH	330.01032	332.21098	330.22533
336.21321	1.19130000000001	336.21321	337.40451	339.40674	1.19130000000001	1.88643000000001	S	2	redcircle	red	circle	4	5	1	0.69513	LONG	2	1	CONGRUENT	NOSWITCH	334.21321	337.40674	335.40451
340.41602	1.19141999999999	340.41602	341.60744	343.62614	1.19141999999999	1.89868999999999	SHAPE	4	redtriangle	red	triangle	2	28	2	0.70727	LONG	2	1	INCONGRUENT	NOSWITCH	338.41602	341.62614	339.60744
345.61174	0.198610000000031	345.61174	345.81035	347.81253	0.198610000000031	1.37871000000003	S	2	greentriangle	green	triangle	1	28	2	1.1801	SHORT	1	1	CONGRUENT	NOSWITCH	343.61174	345.81253	343.81035
349.81468	1.19137999999998	349.81468	351.00606	353.00823	1.19137999999998	1.82849999999998	COLOR	3	greentriangle	green	triangle	1	28	2	0.63712	LONG	2	1	CONGRUENT	SWITCH	347.81468	351.00823	349.00606
354.01764	1.19131000000004	354.01764	355.20895	357.21112	1.19131000000004	1.71693000000004	C	1	redtriangle	red	triangle	2	5	1	0.52562	LONG	2	1	INCONGRUENT	NOSWITCH	352.01764	355.21112	353.20895
358.20398	0.215100000000007	358.20398	358.41908	360.42127	0.215100000000007	1.09001000000001	SHAPE	4	greentriangle	green	triangle	1	28	2	0.87491	SHORT	1	1	CONGRUENT	SWITCH	356.20398	358.42127	356.41908
362.42341	0.198579999999993	362.42341	362.62199	364.60763	0.198579999999993	1.54111999999999	S	2	greentriangle	green	triangle	1	28	2	1.34254	SHORT	1	1	CONGRUENT	NOSWITCH	360.42341	362.60763	360.62199
367.61914	1.20790999999997	367.61914	368.82705	370.8127	1.20790999999997	2.24154999999997	SHAPE	4	redcircle	red	circle	4	5	1	1.03364	LONG	2	1	CONGRUENT	NOSWITCH	365.61914	368.8127	366.82705
371.80551	0.215059999999994	371.80551	372.02057	374.02279	0.215059999999994	1.12963999999999	S	2	redtriangle	red	triangle	2	28	2	0.91458	SHORT	1	1	INCONGRUENT	NOSWITCH	369.80551	372.02279	370.02057
376.00841	1.20790999999997	376.00841	377.21632	379.21849	1.20790999999997	1.78918999999997	SHAPE	4	greentriangle	green	triangle	1	28	2	0.58128	LONG	2	1	CONGRUENT	NOSWITCH	374.00841	377.21849	375.21632
380.21137	1.20786000000004	380.21137	381.41923	383.42139	1.20786000000004	2.12281000000004	COLOR	3	greencircle	green	circle	3	28	2	0.91495	LONG	2	1	INCONGRUENT	SWITCH	378.21137	381.42139	379.41923
385.4071	1.20787000000001	385.4071	386.61497	388.61715	1.20787000000001	2.01026000000001	C	1	greencircle	green	circle	3	28	2	0.80239	LONG	2	1	INCONGRUENT	NOSWITCH	383.4071	386.61715	384.61497
390.61932	0.198569999999961	390.61932	390.81789	392.82006	0.198569999999961	1.15491999999996	COLOR	3	redtriangle	red	triangle	2	5	1	0.95635	SHORT	1	1	INCONGRUENT	NOSWITCH	388.61932	390.82006	388.81789
394.82224	0.18199999999996	394.82224	395.00424	397.00642	0.18199999999996	0.929839999999959	C	1	redcircle	red	circle	4	5	1	0.74784	SHORT	1	1	CONGRUENT	NOSWITCH	392.82224	395.00642	393.00424
399.00862	1.20789000000002	399.00862	400.21651	402.21866	1.20789000000002	2.19507000000002	COLOR	3	greencircle	green	circle	3	28	2	0.98718	LONG	2	1	INCONGRUENT	NOSWITCH	397.00862	400.21866	398.21651
