onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
0.02992	1.19369	0.02992	1.22361	3.21318	1.19369	3.13846	COLOR	3	greencircle	green	circle	3	28	2	1.94477	LONG	2	1	INCONGRUENT	NOSWITCH	0.02992	3.21318	1.22361
4.22451	1.19368	4.22451	5.41819	7.42422	1.19368	3.15068	FORMA	0	redcircle	red	circle	4	28	2	1.957	LONG	2	0	CONGRUENT	SWITCH	4.22451	7.42422	5.41819
8.41897	1.19378	8.41897	9.61275	11.61875	1.19378	2.99616	F	0	greencircle	green	circle	3	5	1	1.80238	LONG	2	0	INCONGRUENT	SWITCH	8.41897	11.61875	9.61275
12.61357	1.21025	12.61357	13.82382	15.81338	1.21025	2.64018	FORMA	0	redcircle	red	circle	4	5	1	1.42993	LONG	2	1	CONGRUENT	SWITCH	12.61357	15.81338	13.82382
17.81944	1.19367	17.81944	19.01311	21.0192	1.19367	2.869	F	0	greentriangle	green	triangle	1	28	2	1.67533	LONG	2	1	CONGRUENT	SWITCH	17.81944	21.0192	19.01311
22.01391	1.21029	22.01391	23.2242	25.23034	1.21029	1.21029	FORMA	0	redcircle	red	circle	4	n/a	0	n/a	LONG	2	0	CONGRUENT	SWITCH	22.01391	25.23034	23.2242
26.20849	0.215529999999998	26.20849	26.42402	28.4301	0.215529999999998	0.215529999999998	F	0	redtriangle	red	triangle	2	n/a	0	n/a	SHORT	1	0	INCONGRUENT	SWITCH	26.20849	28.4301	26.42402
29.40824	1.21029	29.40824	30.61853	32.64121	1.21029	1.21029	C	1	redcircle	red	circle	4	n/a	0	n/a	LONG	2	0	CONGRUENT	SWITCH	29.40824	32.64121	30.61853
34.61415	0.215579999999996	34.61415	34.82973	36.81921	0.215579999999996	1.73846	COLOR	3	greencircle	green	circle	3	28	2	1.52288	SHORT	1	1	INCONGRUENT	NOSWITCH	34.61415	36.81921	34.82973
37.81393	0.198990000000002	37.81393	38.01292	40.01896	0.198990000000002	2.13787	C	1	greentriangle	green	triangle	1	5	1	1.93888	SHORT	1	0	CONGRUENT	NOSWITCH	37.81393	40.01896	38.01292
41.01374	0.215479999999999	41.01374	41.22922	43.2353	0.215479999999999	0.215479999999999	FORMA	0	redtriangle	red	triangle	2	n/a	0	n/a	SHORT	1	0	INCONGRUENT	SWITCH	41.01374	43.2353	41.22922
44.21356	0.215499999999999	44.21356	44.42906	46.41857	0.215499999999999	0.222599999999999	C	1	redtriangle	red	triangle	2	5	1	0.0071	SHORT	1	1	INCONGRUENT	SWITCH	44.21356	46.41857	44.42906
47.41334	1.2102	47.41334	48.62354	50.62964	1.2102	1.2102	COLOR	3	redcircle	red	circle	4	n/a	0	n/a	LONG	2	0	CONGRUENT	NOSWITCH	47.41334	50.62964	48.62354
