onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
0.03231	1.19136	0.03231	1.22367	3.20941	1.19136	2.88733	COLOR	3	greencircle	green	circle	3	5	1	1.69597	LONG	2	1	INCONGRUENT	NOSWITCH	0.03231	3.20941	1.22367
4.20215	1.20802	4.20215	5.41017	7.42882	1.20802	1.20802	FORMA	0	redcircle	red	circle	4	n/a	0	n/a	LONG	2	0	CONGRUENT	SWITCH	4.20215	7.42882	5.41017
8.40502	1.20797	8.40502	9.61299	11.61515	1.20797	3.10952	F	0	greencircle	green	circle	3	5	1	1.90155	LONG	2	0	INCONGRUENT	SWITCH	8.40502	11.61515	9.61299
12.60796	1.2079	12.60796	13.81586	15.81808	1.2079	2.30539	FORMA	0	redcircle	red	circle	4	5	1	1.09749	LONG	2	0	CONGRUENT	SWITCH	12.60796	15.81808	13.81586
17.80367	1.20795	17.80367	19.01162	21.01383	1.20795	2.38535	F	0	greentriangle	green	triangle	1	5	1	1.1774	LONG	2	1	CONGRUENT	SWITCH	17.80367	21.01383	19.01162
22.02316	1.19134	22.02316	23.2145	25.21667	1.19134	2.58185	FORMA	0	redcircle	red	circle	4	5	1	1.39051	LONG	2	0	CONGRUENT	SWITCH	22.02316	25.21667	23.2145
26.20952	0.215119999999999	26.20952	26.42464	28.41021	0.215119999999999	1.24575	F	0	redtriangle	red	triangle	2	5	1	1.03063	SHORT	1	0	INCONGRUENT	SWITCH	26.20952	28.41021	26.42464
29.4197	1.19125	29.4197	30.61095	32.61318	1.19125	2.16134	C	1	redcircle	red	circle	4	28	2	0.97009	LONG	2	1	CONGRUENT	SWITCH	29.4197	32.61318	30.61095
34.61534	0.198539999999994	34.61534	34.81388	36.81607	0.198539999999994	1.02310999999999	COLOR	3	greencircle	green	circle	3	5	1	0.82457	SHORT	1	1	INCONGRUENT	NOSWITCH	34.61534	36.81607	34.81388
37.80887	0.215110000000003	37.80887	38.02398	40.02613	0.215110000000003	1.01935	C	1	greentriangle	green	triangle	1	5	1	0.80424	SHORT	1	1	CONGRUENT	NOSWITCH	37.80887	40.02613	38.02398
41.01898	0.198549999999997	41.01898	41.21753	43.21967	0.198549999999997	2.03118	FORMA	0	redtriangle	red	triangle	2	5	1	1.83263	SHORT	1	0	INCONGRUENT	SWITCH	41.01898	43.21967	41.21753
44.2125	0.198590000000003	44.2125	44.41109	46.41326	0.198590000000003	0.198590000000003	C	1	redtriangle	red	triangle	2	n/a	0	n/a	SHORT	1	0	INCONGRUENT	SWITCH	44.2125	46.41326	44.41109
47.40608	1.20788	47.40608	48.61396	50.61615	1.20788	2.07254	COLOR	3	redcircle	red	circle	4	28	2	0.86466	LONG	2	1	CONGRUENT	NOSWITCH	47.40608	50.61615	48.61396
51.60899	1.20792	51.60899	52.81691	54.81908	1.20792	1.92027	C	1	redtriangle	red	triangle	2	28	2	0.71235	LONG	2	1	INCONGRUENT	NOSWITCH	51.60899	54.81908	52.81691
56.82124	1.19135	56.82124	58.01259	60.01478	1.19135	2.72062	F	0	redtriangle	red	triangle	2	5	1	1.52927	LONG	2	0	INCONGRUENT	SWITCH	56.82124	60.01478	58.01259
61.00762	1.20789	61.00762	62.21551	64.2177	1.20789	2.19959	FORMA	0	redtriangle	red	triangle	2	5	1	0.9917	LONG	2	0	INCONGRUENT	SWITCH	61.00762	64.2177	62.21551
65.21057	1.20784999999999	65.21057	66.41842	68.42062	1.20784999999999	1.77393999999999	F	0	redcircle	red	circle	4	5	1	0.56609	LONG	2	0	CONGRUENT	SWITCH	65.21057	68.42062	66.41842
70.4228	0.181989999999999	70.4228	70.60479	72.62352	0.181989999999999	1.60805	COLOR	3	greentriangle	green	triangle	1	5	1	1.42606	SHORT	1	1	CONGRUENT	SWITCH	70.4228	72.62352	70.60479
73.61635	1.20796	73.61635	74.82431	76.80989	1.20796	2.1939	F	0	greencircle	green	circle	3	5	1	0.98594	LONG	2	0	INCONGRUENT	SWITCH	73.61635	76.80989	74.82431
78.81201	0.198629999999994	78.81201	79.01064	81.0128	0.198629999999994	1.15943999999999	FORMA	0	redcircle	red	circle	4	5	1	0.96081	SHORT	1	0	CONGRUENT	SWITCH	78.81201	81.0128	79.01064
82.02212	0.182069999999996	82.02212	82.20419	84.20633	0.182069999999996	0.975449999999996	F	0	redtriangle	red	triangle	2	5	1	0.79338	SHORT	1	0	INCONGRUENT	SWITCH	82.02212	84.20633	82.20419
86.20853	0.215100000000007	86.20853	86.42363	88.40922	0.215100000000007	1.23124000000001	FORMA	0	greencircle	green	circle	3	5	1	1.01614	SHORT	1	0	INCONGRUENT	SWITCH	86.20853	88.40922	86.42363
91.42083	0.18198000000001	91.42083	91.60281	93.60496	0.18198000000001	1.63773000000001	COLOR	3	redtriangle	red	triangle	2	28	2	1.45575	SHORT	1	1	INCONGRUENT	SWITCH	91.42083	93.60496	91.60281
94.61435	1.20788999999999	94.61435	95.82224	97.82443	1.20788999999999	1.88699999999999	F	0	redcircle	red	circle	4	5	1	0.67911	LONG	2	0	CONGRUENT	SWITCH	94.61435	97.82443	95.82224
100.81943	0.18198000000001	100.81943	101.00141	103.02017	0.18198000000001	0.87073000000001	FORMA	0	redtriangle	red	triangle	2	5	1	0.68875	SHORT	1	0	INCONGRUENT	SWITCH	100.81943	103.02017	101.00141
104.01297	1.20790000000001	104.01297	105.22087	107.20651	1.20790000000001	1.92280000000001	COLOR	3	greentriangle	green	triangle	1	5	1	0.7149	LONG	2	1	CONGRUENT	SWITCH	104.01297	107.20651	105.22087
109.20869	0.215130000000002	109.20869	109.42382	111.40939	0.215130000000002	1.47802	C	1	redtriangle	red	triangle	2	28	2	1.26289	SHORT	1	1	INCONGRUENT	NOSWITCH	109.20869	111.40939	109.42382
113.41157	1.208	113.41157	114.61957	116.60514	1.208	1.79993	COLOR	3	greencircle	green	circle	3	5	1	0.59193	LONG	2	1	INCONGRUENT	NOSWITCH	113.41157	116.60514	114.61957
117.61459	0.198529999999991	117.61459	117.81312	119.81521	0.198529999999991	1.22702999999999	C	1	redcircle	red	circle	4	28	2	1.0285	SHORT	1	1	CONGRUENT	NOSWITCH	117.61459	119.81521	117.81312
121.81745	0.198510000000013	121.81745	122.01596	124.01816	0.198510000000013	1.44521000000001	F	0	redcircle	red	circle	4	5	1	1.2467	SHORT	1	0	CONGRUENT	SWITCH	121.81745	124.01816	122.01596
126.02031	1.19139	126.02031	127.2117	129.21388	1.19139	2.94663	FORMA	0	greentriangle	green	triangle	1	5	1	1.75524	LONG	2	1	CONGRUENT	SWITCH	126.02031	129.21388	127.2117
130.2067	1.20791	130.2067	131.41461	133.41677	1.20791	1.95022	C	1	redtriangle	red	triangle	2	28	2	0.74231	LONG	2	1	INCONGRUENT	SWITCH	130.2067	133.41677	131.41461
135.41892	0.198549999999983	135.41892	135.61747	137.6197	0.198549999999983	1.66365999999998	COLOR	3	greentriangle	green	triangle	1	5	1	1.46511	SHORT	1	1	CONGRUENT	NOSWITCH	135.41892	137.6197	135.61747
140.61468	1.20788000000002	140.61468	141.82256	143.80828	1.20788000000002	2.78303000000002	C	1	redcircle	red	circle	4	5	1	1.57515	LONG	2	0	CONGRUENT	NOSWITCH	140.61468	143.80828	141.82256
144.81755	0.198579999999993	144.81755	145.01613	147.01835	0.198579999999993	1.80277999999999	COLOR	3	greencircle	green	circle	3	5	1	1.6042	SHORT	1	1	INCONGRUENT	NOSWITCH	144.81755	147.01835	145.01613
149.0205	1.19135	149.0205	150.21185	152.21405	1.19135	1.81927	C	1	greentriangle	green	triangle	1	5	1	0.62792	LONG	2	1	CONGRUENT	NOSWITCH	149.0205	152.21405	150.21185
154.21624	1.20791	154.21624	155.42415	157.40976	1.20791	1.97677	FORMA	0	greencircle	green	circle	3	5	1	0.76886	LONG	2	0	INCONGRUENT	SWITCH	154.21624	157.40976	155.42415
158.41913	1.19137000000001	158.41913	159.6105	161.61262	1.19137000000001	1.84165000000001	F	0	greentriangle	green	triangle	1	5	1	0.65028	LONG	2	1	CONGRUENT	SWITCH	158.41913	161.61262	159.6105
162.6055	0.215129999999988	162.6055	162.82063	164.82282	0.215129999999988	1.40507999999999	FORMA	0	redcircle	red	circle	4	5	1	1.18995	SHORT	1	0	CONGRUENT	SWITCH	162.6055	164.82282	162.82063
165.81559	0.198520000000002	165.81559	166.01411	168.01635	0.198520000000002	1.27318	F	0	greencircle	green	circle	3	5	1	1.07466	SHORT	1	0	INCONGRUENT	SWITCH	165.81559	168.01635	166.01411
169.00907	1.20796999999999	169.00907	170.21704	172.21923	1.20796999999999	1.88426999999999	C	1	greencircle	green	circle	3	5	1	0.6763	LONG	2	1	INCONGRUENT	SWITCH	169.00907	172.21923	170.21704
174.2214	0.198520000000002	174.2214	174.41992	176.40559	0.198520000000002	1.01051	COLOR	3	redcircle	red	circle	4	28	2	0.81199	SHORT	1	1	CONGRUENT	NOSWITCH	174.2214	176.40559	174.41992
178.40775	1.20796000000001	178.40775	179.61571	181.61789	1.20796000000001	1.81719000000001	C	1	redcircle	red	circle	4	28	2	0.60923	LONG	2	1	CONGRUENT	NOSWITCH	178.40775	181.61789	179.61571
183.62003	1.19137999999998	183.62003	184.81141	186.81359	1.19137999999998	1.89261999999998	COLOR	3	greentriangle	green	triangle	1	5	1	0.70124	LONG	2	1	CONGRUENT	NOSWITCH	183.62003	186.81359	184.81141
189.80856	1.20801	189.80856	191.01657	193.0187	1.20801	3.08653	C	1	redtriangle	red	triangle	2	28	2	1.87852	LONG	2	1	INCONGRUENT	NOSWITCH	189.80856	193.0187	191.01657
194.01148	1.20786999999999	194.01148	195.21935	197.22155	1.20786999999999	2.14605999999999	COLOR	3	greencircle	green	circle	3	5	1	0.93819	LONG	2	1	INCONGRUENT	NOSWITCH	194.01148	197.22155	195.21935
199.20719	0.215120000000013	199.20719	199.42231	201.40792	0.215120000000013	1.29785000000001	C	1	greentriangle	green	triangle	1	5	1	1.08273	SHORT	1	1	CONGRUENT	NOSWITCH	199.20719	201.40792	199.42231
203.41013	1.20786999999999	203.41013	204.618	206.6202	1.20786999999999	2.14025999999999	FORMA	0	greentriangle	green	triangle	1	5	1	0.93239	LONG	2	1	CONGRUENT	SWITCH	203.41013	206.6202	204.618
208.62233	0.182069999999982	208.62233	208.8044	210.80656	0.182069999999982	0.895709999999982	F	0	greentriangle	green	triangle	1	5	1	0.71364	SHORT	1	1	CONGRUENT	SWITCH	208.62233	210.80656	208.8044
211.81591	1.19134	211.81591	213.00725	215.00948	1.19134	3.05233	C	1	greencircle	green	circle	3	5	1	1.86099	LONG	2	1	INCONGRUENT	SWITCH	211.81591	215.00948	213.00725
216.01886	1.19133000000002	216.01886	217.21019	219.21248	1.19133000000002	1.98527000000002	COLOR	3	greencircle	green	circle	3	5	1	0.79394	LONG	2	1	INCONGRUENT	NOSWITCH	216.01886	219.21248	217.21019
220.20525	1.20779999999999	220.20525	221.41305	223.41528	1.20779999999999	1.80443999999999	C	1	greentriangle	green	triangle	1	5	1	0.59664	LONG	2	1	CONGRUENT	NOSWITCH	220.20525	223.41528	221.41305
225.41748	0.198489999999993	225.41748	225.61597	227.61819	0.198489999999993	1.84593999999999	COLOR	3	greentriangle	green	triangle	1	5	1	1.64745	SHORT	1	1	CONGRUENT	NOSWITCH	225.41748	227.61819	225.61597
229.62034	0.182040000000001	229.62034	229.80238	231.80451	0.182040000000001	1.30321	C	1	redtriangle	red	triangle	2	28	2	1.12117	SHORT	1	1	INCONGRUENT	NOSWITCH	229.62034	231.80451	229.80238
232.81387	0.198610000000002	232.81387	233.01248	235.01466	0.198610000000002	0.952690000000002	COLOR	3	redtriangle	red	triangle	2	28	2	0.75408	SHORT	1	1	INCONGRUENT	NOSWITCH	232.81387	235.01466	233.01248
236.00749	1.20789000000002	236.00749	237.21538	239.2176	1.20789000000002	1.74791000000002	C	1	redtriangle	red	triangle	2	28	2	0.54002	LONG	2	1	INCONGRUENT	NOSWITCH	236.00749	239.2176	237.21538
240.21042	1.20796000000001	240.21042	241.41838	243.42044	1.20796000000001	2.44131000000001	COLOR	3	redcircle	red	circle	4	28	2	1.23335	LONG	2	1	CONGRUENT	NOSWITCH	240.21042	243.42044	241.41838
