onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
0.03005	1.19364	0.03005	1.22369	3.21328	1.19364	2.46974	COLOR	3	greentriangle	green	triangle	1	28	2	1.2761	LONG	2	1	INCONGRUENT	NOSWITCH	0.03005	3.21328	1.22369
4.22449	1.19377	4.22449	5.41826	7.42434	1.19377	1.88092	C	1	redcircle	red	circle	4	5	1	0.68715	LONG	2	1	INCONGRUENT	NOSWITCH	4.22449	7.42434	5.41826
8.41906	0.19903	8.41906	8.61809	10.6241	0.19903	1.02895	SHAPE	4	greentriangle	green	triangle	1	28	2	0.82992	SHORT	1	0	INCONGRUENT	SWITCH	8.41906	10.6241	8.61809
12.61364	0.19895	12.61364	12.81259	14.81867	0.19895	0.20326	S	2	redtriangle	red	triangle	2	28	2	0.00431	SHORT	1	0	CONGRUENT	NOSWITCH	12.61364	14.81867	12.81259
16.80823	1.21027	16.80823	18.0185	20.02452	1.21027	1.21548	SHAPE	4	redtriangle	red	triangle	2	28	2	0.00521	LONG	2	0	CONGRUENT	NOSWITCH	16.80823	20.02452	18.0185
21.01925	1.1937	21.01925	22.21295	24.21911	1.1937	1.20074	C	1	redcircle	red	circle	4	28	2	0.00704	LONG	2	0	INCONGRUENT	SWITCH	21.01925	24.21911	22.21295
25.21384	1.21025	25.21384	26.42409	28.41363	1.21025	1.21727	COLOR	3	greencircle	green	circle	3	28	2	0.00702	LONG	2	1	CONGRUENT	NOSWITCH	25.21384	28.41363	26.42409
31.41439	1.1937	31.41439	32.60809	34.61423	1.1937	1.61169	C	1	redcircle	red	circle	4	5	1	0.41799	LONG	2	1	INCONGRUENT	NOSWITCH	31.41439	34.61423	32.60809
35.60898	0.215559999999996	35.60898	35.82454	37.814	0.215559999999996	0.737689999999996	COLOR	3	redcircle	red	circle	4	5	1	0.52213	SHORT	1	1	INCONGRUENT	NOSWITCH	35.60898	37.814	35.82454
38.80872	0.21555	38.80872	39.02427	41.01375	0.21555	1.10305	C	1	greentriangle	green	triangle	1	28	2	0.8875	SHORT	1	1	INCONGRUENT	NOSWITCH	38.80872	41.01375	39.02427
43.0199	0.198920000000001	43.0199	43.21882	45.2083	0.198920000000001	0.664050000000001	COLOR	3	greencircle	green	circle	3	28	2	0.46513	SHORT	1	1	CONGRUENT	NOSWITCH	43.0199	45.2083	43.21882
46.21967	1.19364	46.21967	47.41331	49.41941	1.19364	1.8472	SHAPE	4	greentriangle	green	triangle	1	5	1	0.65356	LONG	2	1	INCONGRUENT	SWITCH	46.21967	49.41941	47.41331
50.41421	0.21555	50.41421	50.62976	52.61925	0.21555	1.19619	S	2	redcircle	red	circle	4	28	2	0.98064	SHORT	1	1	INCONGRUENT	NOSWITCH	50.41421	52.61925	50.62976
54.62535	0.182370000000006	54.62535	54.80772	56.8138	0.182370000000006	0.917110000000006	COLOR	3	redtriangle	red	triangle	2	5	1	0.73474	SHORT	1	1	CONGRUENT	SWITCH	54.62535	56.8138	54.80772
57.82512	0.198950000000004	57.82512	58.02407	60.01353	0.198950000000004	1.96683	C	1	greencircle	green	circle	3	28	2	1.76788	SHORT	1	1	CONGRUENT	NOSWITCH	57.82512	60.01353	58.02407
61.00826	1.21036	61.00826	62.21862	64.22471	1.21036	2.67245	COLOR	3	redcircle	red	circle	4	5	1	1.46209	LONG	2	1	INCONGRUENT	NOSWITCH	61.00826	64.22471	62.21862
65.21943	0.198930000000004	65.21943	65.41836	67.40789	0.198930000000004	1.08712	C	1	redtriangle	red	triangle	2	5	1	0.88819	SHORT	1	1	CONGRUENT	NOSWITCH	65.21943	67.40789	65.41836
68.41921	0.198909999999998	68.41921	68.61812	70.60768	0.198909999999998	1.16953	S	2	redtriangle	red	triangle	2	5	1	0.97062	SHORT	1	1	CONGRUENT	SWITCH	68.41921	70.60768	68.61812
71.61898	0.198910000000012	71.61898	71.81789	73.82403	0.198910000000012	1.48426000000001	SHAPE	4	redtriangle	red	triangle	2	5	1	1.28535	SHORT	1	1	CONGRUENT	NOSWITCH	71.61898	73.82403	71.81789
74.81875	0.199010000000001	74.81875	75.01776	77.00726	0.199010000000001	1.11008	S	2	greentriangle	green	triangle	1	5	1	0.91107	SHORT	1	1	INCONGRUENT	NOSWITCH	74.81875	77.00726	75.01776
78.01854	1.19368	78.01854	79.21222	81.21836	1.19368	1.72916	SHAPE	4	redtriangle	red	triangle	2	5	1	0.53548	LONG	2	1	CONGRUENT	NOSWITCH	78.01854	81.21836	79.21222
82.21315	1.21023	82.21315	83.42338	85.41284	1.21023	2.21372	COLOR	3	redcircle	red	circle	4	5	1	1.00349	LONG	2	1	INCONGRUENT	SWITCH	82.21315	85.41284	83.42338
87.419	0.198970000000003	87.419	87.61797	89.62401	0.198970000000003	0.793150000000003	C	1	greencircle	green	circle	3	28	2	0.59418	SHORT	1	1	CONGRUENT	NOSWITCH	87.419	89.62401	87.61797
90.61871	1.19378	90.61871	91.81249	93.81859	1.19378	1.9636	COLOR	3	greencircle	green	circle	3	28	2	0.76982	LONG	2	1	CONGRUENT	NOSWITCH	90.61871	93.81859	91.81249
94.81335	0.215479999999999	94.81335	95.02883	97.01835	0.215479999999999	0.938579999999999	C	1	redcircle	red	circle	4	28	2	0.7231	SHORT	1	0	INCONGRUENT	NOSWITCH	94.81335	97.01835	95.02883
98.01312	0.215490000000003	98.01312	98.22861	100.21813	0.215490000000003	0.926570000000003	COLOR	3	greencircle	green	circle	3	28	2	0.71108	SHORT	1	1	CONGRUENT	NOSWITCH	98.01312	100.21813	98.22861
101.21287	1.21023000000001	101.21287	102.4231	104.4127	1.21023000000001	2.02615000000001	SHAPE	4	greencircle	green	circle	3	28	2	0.81592	LONG	2	1	CONGRUENT	SWITCH	101.21287	104.4127	102.4231
105.40738	1.21034999999999	105.40738	106.61773	108.62374	1.21034999999999	2.23737999999999	S	2	greentriangle	green	triangle	1	5	1	1.02703	LONG	2	1	INCONGRUENT	NOSWITCH	105.40738	108.62374	106.61773
109.61854	1.19370000000001	109.61854	110.81224	112.81826	1.19370000000001	1.19370000000001	SHAPE	4	greencircle	green	circle	3	n/a	0	n/a	LONG	2	0	CONGRUENT	NOSWITCH	109.61854	112.81826	110.81224
114.82436	0.198949999999996	114.82436	115.02331	117.01285	0.198949999999996	1.12006	S	2	redcircle	red	circle	4	28	2	0.92111	SHORT	1	1	INCONGRUENT	NOSWITCH	114.82436	117.01285	115.02331
119.01893	1.19369	119.01893	120.21262	122.21873	1.19369	2.02161	SHAPE	4	greentriangle	green	triangle	1	5	1	0.82792	LONG	2	1	INCONGRUENT	NOSWITCH	119.01893	122.21873	120.21262
